Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1974,13055,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1987,8260,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1980,9605,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1984,7741,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1980,515,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2002,235,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2009,202,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1982,37,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2000,363,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1967,35656,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2008,2001,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1963,96,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1968,18941,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1998,388,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1982,10843,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2016,261,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2016,3462,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1961,44794,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1987,7495,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1961,101,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2003,2147,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2007,4320,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1992,3337,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1967,1729,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1973,1276,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1973,13044,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1981,8932,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1964,23602,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2016,161,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2005,3566,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1969,1611,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1994,5627,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1991,524,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1993,392,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1978,583,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1973,14961,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1966,18324,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1985,530,239,57,1960,2016
