Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Burundi,BDI,2014,2,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Solomon Islands,SLB,2015,126,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Guinea-Bissau,GNB,2012,18,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,South Sudan,SSD,2013,7684,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Haiti,HTI,2011,11611,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Somalia,SOM,2012,3,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Iraq,IRQ,2011,361,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Haiti,HTI,2016,4828,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Kosovo,XKX,2015,16,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,South Sudan,SSD,2015,13035,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Iraq,IRQ,2010,235,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Liberia,LBR,2016,1712,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Lebanon,LBN,2015,10494,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Kosovo,XKX,2013,14,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Mali,MLI,2013,6439,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Afghanistan,AFG,2010,16,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Solomon Islands,SLB,2014,152,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Nepal,NPL,2009,72,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Liberia,LBR,2009,10947,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Sudan,SDN,2009,10262,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Iraq,IRQ,2015,243,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Kosovo,XKX,2012,16,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,"Congo, Dem. Rep.",COD,2013,21198,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Cote d'Ivoire,CIV,2014,7633,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Lebanon,LBN,2016,10541,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Somalia,SOM,2016,591,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Mali,MLI,2014,9494,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Kosovo,XKX,2010,16,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Cote d'Ivoire,CIV,2016,2622,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Solomon Islands,SLB,2016,99,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Sierra Leone,SLE,2013,4,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Central African Republic,CAF,2010,3,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,"Congo, Dem. Rep.",COD,2015,18727,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Haiti,HTI,2009,9057,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Afghanistan,AFG,2012,23,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Timor-Leste,TLS,2009,1552,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,South Sudan,SSD,2012,7157,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Libya,LBY,2012,2,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,"Congo, Dem. Rep.",COD,2009,20509,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Iraq,IRQ,2012,251,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Somalia,SOM,2015,562,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Kosovo,XKX,2009,17,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Liberia,LBR,2011,9206,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Burundi,BDI,2009,15,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Haiti,HTI,2014,7213,22,9,2007,2016
