Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Lower middle income,LMC,2011,4072940,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,El Salvador,SLV,1967,23681,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Georgia,GEO,2003,1586,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Heavily indebted poor countries (HIPC),HPC,1994,2951346,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Panama,PAN,2010,1501,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uganda,UGA,2015,92722,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Fragile and conflict affected situations,FCS,1991,1572486,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Austria,AUT,2009,349,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Seychelles,SYC,2013,24,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Guyana,GUY,1982,1633,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Maldives,MDV,2010,93,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lebanon,LBN,1977,4311,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Andorra,AND,2010,3,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Bahamas, The",BHS,2005,82,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cabo Verde,CPV,1975,1259,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Central African Republic,CAF,2012,23284,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cambodia,KHM,2001,32847,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Swaziland,SWZ,1980,3245,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lao PDR,LAO,1994,26414,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ethiopia,ETH,2010,243049,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Swaziland,SWZ,1983,2988,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1986,31,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Hungary,HUN,1996,1304,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia,ECS,2009,144596,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,St. Vincent and the Grenadines,VCT,1975,255,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Costa Rica,CRI,1974,3118,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1997,21,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Latin America & the Caribbean (IDA & IBRD countries),TLA,2006,276952,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Bolivia,BOL,1987,32212,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Marshall Islands,MHL,1978,98,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Austria,AUT,1991,810,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Afghanistan,AFG,2005,118457,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lesotho,LSO,1987,5365,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Kenya,KEN,2009,91422,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Mozambique,MOZ,2002,127499,239,57,1960,2016
